Gmt time,Open,High,Low,Close,Volume
25.05.2021 00:00:00.000,0.89702,0.89742,0.89300,0.89562,81515.3984
26.05.2021 00:00:00.000,0.89563,0.89873,0.89415,0.89773,63208.3203
27.05.2021 00:00:00.000,0.89775,0.90083,0.89605,0.89706,70079.5625
28.05.2021 00:00:00.000,0.89704,0.90293,0.89704,0.89975,67550.6875
29.05.2021 00:00:00.000,0.89975,0.89975,0.89975,0.89975,0
30.05.2021 00:00:00.000,0.89875,0.90015,0.89874,0.90012,5733.1201
31.05.2021 00:00:00.000,0.90011,0.90125,0.89814,0.89839,42712.8203
01.06.2021 00:00:00.000,0.89838,0.89983,0.89465,0.89707,53071.4688
02.06.2021 00:00:00.000,0.89709,0.90241,0.89666,0.89820,66290.7969
03.06.2021 00:00:00.000,0.89819,0.90515,0.89787,0.90347,52560.7617
04.06.2021 00:00:00.000,0.90348,0.90534,0.89819,0.89829,54109.5313
05.06.2021 00:00:00.000,0.89829,0.89829,0.89829,0.89829,0
06.06.2021 00:00:00.000,0.89911,0.89936,0.89837,0.89927,3031.3401
07.06.2021 00:00:00.000,0.89928,0.90099,0.89656,0.89770,46285.0508
08.06.2021 00:00:00.000,0.89771,0.89891,0.89515,0.89690,54984.9883
09.06.2021 00:00:00.000,0.89690,0.89713,0.89260,0.89585,37103.6406
10.06.2021 00:00:00.000,0.89583,0.89925,0.89402,0.89455,58107.6211
11.06.2021 00:00:00.000,0.89456,0.89999,0.89324,0.89714,44160
12.06.2021 00:00:00.000,0.89714,0.89714,0.89714,0.89714,0
13.06.2021 00:00:00.000,0.89806,0.89875,0.89775,0.89783,2445.6599
14.06.2021 00:00:00.000,0.89783,0.90013,0.89783,0.89935,41407.4297
15.06.2021 00:00:00.000,0.89933,0.90074,0.89651,0.89854,42465.5586
16.06.2021 00:00:00.000,0.89856,0.90907,0.89770,0.90868,67391.1016
17.06.2021 00:00:00.000,0.90869,0.91878,0.90754,0.91765,85995.5469
18.06.2021 00:00:00.000,0.91765,0.92385,0.91680,0.92253,83447.8438
19.06.2021 00:00:00.000,0.92253,0.92253,0.92253,0.92253,0
20.06.2021 00:00:00.000,0.92184,0.92294,0.92131,0.92249,3101.1201
21.06.2021 00:00:00.000,0.92249,0.92366,0.91735,0.91864,70156.3906
22.06.2021 00:00:00.000,0.91865,0.92125,0.91722,0.91862,63336.0703
23.06.2021 00:00:00.000,0.91860,0.91995,0.91538,0.91822,55073.6094
24.06.2021 00:00:00.000,0.91822,0.91996,0.91736,0.91813,57206.0313
25.06.2021 00:00:00.000,0.91813,0.91824,0.91422,0.91669,49932.9414
26.06.2021 00:00:00.000,0.91669,0.91669,0.91669,0.91669,0
27.06.2021 00:00:00.000,0.91729,0.91759,0.91620,0.91665,6240.1401
28.06.2021 00:00:00.000,0.91665,0.92143,0.91665,0.91960,52014.6016
29.06.2021 00:00:00.000,0.91959,0.92327,0.91894,0.92091,50151.7383
30.06.2021 00:00:00.000,0.92091,0.92618,0.92058,0.92507,64523.5
01.07.2021 00:00:00.000,0.92506,0.92713,0.92356,0.92590,68989.25
02.07.2021 00:00:00.000,0.92589,0.92742,0.91998,0.92012,68498.7422
03.07.2021 00:00:00.000,0.92012,0.92012,0.92012,0.92012,0
04.07.2021 00:00:00.000,0.92104,0.92180,0.92020,0.92175,6892.1001
05.07.2021 00:00:00.000,0.92174,0.92322,0.92036,0.92224,43163.1211
06.07.2021 00:00:00.000,0.92227,0.92510,0.91932,0.92470,75546.9297
07.07.2021 00:00:00.000,0.92470,0.92673,0.92225,0.92568,69674.1875
08.07.2021 00:00:00.000,0.92566,0.92608,0.91330,0.91475,79643.7813
09.07.2021 00:00:00.000,0.91475,0.91747,0.91357,0.91363,52615.5898
10.07.2021 00:00:00.000,0.91363,0.91363,0.91363,0.91363,0
11.07.2021 00:00:00.000,0.91403,0.91527,0.91349,0.91406,2713.3501
12.07.2021 00:00:00.000,0.91407,0.91707,0.91317,0.91502,53736.8789
13.07.2021 00:00:00.000,0.91501,0.92003,0.91429,0.91890,72592.6797
14.07.2021 00:00:00.000,0.91890,0.91984,0.91381,0.91473,62859.0117
15.07.2021 00:00:00.000,0.91471,0.91928,0.91174,0.91784,63690.1797
16.07.2021 00:00:00.000,0.91785,0.92034,0.91738,0.91868,52536.4883
17.07.2021 00:00:00.000,0.91868,0.91868,0.91868,0.91868,0
18.07.2021 00:00:00.000,0.91798,0.92002,0.91798,0.91856,1971.04
19.07.2021 00:00:00.000,0.91855,0.92215,0.91626,0.91871,67805.6484
20.07.2021 00:00:00.000,0.91872,0.92325,0.91725,0.92121,69672.8672
21.07.2021 00:00:00.000,0.92121,0.92309,0.91694,0.91768,54509.2695
22.07.2021 00:00:00.000,0.91767,0.92016,0.91546,0.91911,69192.6719
23.07.2021 00:00:00.000,0.91909,0.92218,0.91860,0.91908,46132.6914
24.07.2021 00:00:00.000,0.91908,0.91908,0.91908,0.91908,0
25.07.2021 00:00:00.000,0.91860,0.91988,0.91860,0.91954,2054.3601
26.07.2021 00:00:00.000,0.91950,0.92020,0.91482,0.91554,55916.6406
27.07.2021 00:00:00.000,0.91555,0.91862,0.91281,0.91441,57236.3398
28.07.2021 00:00:00.000,0.91438,0.91672,0.90967,0.90973,60535.3594
29.07.2021 00:00:00.000,0.90971,0.91004,0.90527,0.90574,45983.8594
30.07.2021 00:00:00.000,0.90573,0.90751,0.90392,0.90489,50009.5703
31.07.2021 00:00:00.000,0.90489,0.90489,0.90489,0.90489,0
01.08.2021 00:00:00.000,0.90379,0.90620,0.90375,0.90593,1186.4399
02.08.2021 00:00:00.000,0.90595,0.90671,0.90373,0.90527,45963.4688
03.08.2021 00:00:00.000,0.90527,0.90572,0.90227,0.90381,50947.4609
04.08.2021 00:00:00.000,0.90382,0.90758,0.90181,0.90659,45689.1211
05.08.2021 00:00:00.000,0.90659,0.90777,0.90511,0.90664,43050.6914
06.08.2021 00:00:00.000,0.90662,0.91562,0.90659,0.91383,48937.9492
07.08.2021 00:00:00.000,0.91383,0.91383,0.91383,0.91383,0
08.08.2021 00:00:00.000,0.91322,0.91629,0.91322,0.91569,4427.27
09.08.2021 00:00:00.000,0.91568,0.92095,0.91453,0.92088,42946.4492
10.08.2021 00:00:00.000,0.92088,0.92338,0.91945,0.92297,43075.7891
11.08.2021 00:00:00.000,0.92295,0.92419,0.92021,0.92159,41195.3789
12.08.2021 00:00:00.000,0.92160,0.92395,0.92113,0.92309,30482.1504
13.08.2021 00:00:00.000,0.92308,0.92387,0.91497,0.91497,29885.4609
14.08.2021 00:00:00.000,0.91497,0.91497,0.91497,0.91497,0
15.08.2021 00:00:00.000,0.91576,0.91585,0.91474,0.91539,3587.8101
16.08.2021 00:00:00.000,0.91539,0.91634,0.91089,0.91257,41010.9297
17.08.2021 00:00:00.000,0.91255,0.91526,0.90994,0.91492,44681.3984
18.08.2021 00:00:00.000,0.91493,0.91963,0.91266,0.91756,50745.9688
19.08.2021 00:00:00.000,0.91754,0.92067,0.91450,0.91892,56484.6797
20.08.2021 00:00:00.000,0.91892,0.91892,0.91585,0.91671,34191.2188
21.08.2021 00:00:00.000,0.91671,0.91671,0.91671,0.91671,0
22.08.2021 00:00:00.000,0.91625,0.91771,0.91597,0.91722,1833.54
23.08.2021 00:00:00.000,0.91720,0.91778,0.91208,0.91232,41035.1992
24.08.2021 00:00:00.000,0.91234,0.91389,0.91101,0.91317,35286.5898
25.08.2021 00:00:00.000,0.91316,0.91575,0.91186,0.91366,40611.9219
26.08.2021 00:00:00.000,0.91370,0.91919,0.91348,0.91796,50645.9297
27.08.2021 00:00:00.000,0.91796,0.91994,0.91059,0.91080,49708.6094
28.08.2021 00:00:00.000,0.91080,0.91080,0.91080,0.91080,0
29.08.2021 00:00:00.000,0.91089,0.91149,0.91052,0.91139,2086.28
30.08.2021 00:00:00.000,0.91140,0.91848,0.91010,0.91718,30603.5
31.08.2021 00:00:00.000,0.91718,0.91728,0.91140,0.91533,49145.0313
01.09.2021 00:00:00.000,0.91538,0.91891,0.91388,0.91558,45558.9805
02.09.2021 00:00:00.000,0.91557,0.91676,0.91343,0.91450,40974.1797
03.09.2021 00:00:00.000,0.91449,0.91590,0.91151,0.91342,54326.2695
04.09.2021 00:00:00.000,0.91342,0.91342,0.91342,0.91342,0
05.09.2021 00:00:00.000,0.91209,0.91413,0.91209,0.91383,1457.9399
